No,latlng
0,"104.02073,30.688654"
1,"104.059349,30.682298"
2,"103.987671,30.730944"
3,"104.012978,30.647972"
4,"104.057651,30.67383"
5,"103.994865,30.649418"
6,"104.054866,30.673699"
7,"104.064147,30.582579"
8,"104.096381,30.703774"
9,"104.08476,30.588966"
10,"103.994865,30.649418"
11,"104.042849,30.633738"
12,"103.646465,30.847654"
13,"104.058951,30.643685"
14,"104.066565,30.612248"
15,"104.019428,30.689388"
16,"104.077778,30.654769"
17,"103.696142,30.63542"
18,"104.042952,30.654906"
19,"104.143974,30.628064"
20,"104.047073,30.527701"
21,"104.05252,30.615756"
22,"104.067368,30.545046"
23,"104.07553,30.652681"
24,"104.053617,30.663833"
25,"104.056091,30.661776"
26,"104.068134,30.673802"
27,"104.058902,30.670086"
28,"104.079342,30.656251"
29,"104.049406,30.641957"
30,"104.047064,30.618389"
31,"104.05375,30.551"
32,"104.111817,30.711406"
33,"104.015689,30.651247"
34,"104.071362,30.556128"
35,"104.011714,30.655637"
36,"104.046605,30.709158"
37,"104.086735,30.651399"
38,"104.052517,30.55202"
39,"104.090117,30.652435"
40,"104.011298,30.695041"
41,"104.139711,30.682804"
42,"104.090021,30.647671"
43,"104.074994,30.642407"
44,"104.005989,30.651649"
45,"104.048827,30.652994"
46,"103.948545,30.781394"
47,"104.022406,30.678537"
48,"104.019548,30.694275"
49,"104.072056,30.550239"
50,"104.090117,30.652435"
51,"104.068134,30.673802"
52,"104.108307,30.622849"
53,"103.696142,30.63542"
54,"104.141625,30.62886"
55,"104.101906,30.663195"
56,"104.0052,30.627283"
57,"104.042138,30.684551"
58,"104.085828,30.607707"
59,"104.027434,30.697177"
60,"104.053627,30.612278"
61,"104.078818,30.554597"
62,"104.106125,30.686346"
63,"104.048658,30.64542"
64,"104.000441,30.674786"
65,"104.08901,30.694274"
66,"104.068868,30.586267"
67,"104.11275,30.6355"
68,"104.063392,30.568751"
69,"104.111194,30.646022"
70,"104.09588,30.60427"
71,"104.04865,30.68345"
72,"104.255722,30.561986"
73,"104.078328,30.655385"
74,"104.049882,30.647148"
75,"104.061561,30.578001"
76,"104.105324,30.668525"
77,"104.104019,30.660452"
78,"104.040673,30.643384"
79,"104.056079,30.672683"
80,"104.064678,30.648456"
81,"103.944959,30.991558"
82,"104.011355,30.69054"
83,"104.140903,30.622395"
84,"104.085486,30.629794"
85,"104.094935,30.62383"
86,"104.02455,30.65046"
87,"104.085958,30.694096"
88,"104.092627,30.643162"
89,"104.092627,30.643162"
90,"104.055037,30.672764"
91,"104.073403,30.696772"
92,"104.018008,30.620858"
93,"104.068142,30.549534"
94,"104.063117,30.568738"
95,"104.090117,30.652435"
96,"104.052431,30.665589"
97,"104.015716,30.653256"
98,"104.07553,30.652681"
99,"104.074221,30.703386"
100,"104.082825,30.672475"
101,"104.073403,30.696772"
102,"104.090117,30.652435"
103,"104.080588,30.696709"
104,"104.08338,30.694975"
105,"104.06585,30.657361"
106,"104.076712,30.636895"
107,"104.034619,30.653207"
108,"104.117595,30.64648"
109,"104.102977,30.612111"
110,"104.068675,30.52775"
111,"104.085486,30.629794"
112,"104.073378,30.703406"
113,"104.083736,30.652685"
114,"104.079089,30.610808"
115,"104.027023,30.623089"
116,"104.034164,30.666598"
117,"104.015872,30.637465"
118,"104.032356,30.675341"
119,"104.093238,30.63845"
120,"104.069811,30.554829"
121,"103.887901,30.482767"
122,"104.053746,30.557"
123,"103.696142,30.63542"
124,"104.066541,30.572269"
125,"103.696142,30.63542"
126,"104.082429,30.650054"
127,"104.068498,30.706548"
128,"104.080583,30.660542"
129,"104.076975,30.681597"
130,"104.083726,30.653334"
131,"104.007164,30.696085"
132,"104.080489,30.642166"
133,"104.053193,30.554916"
134,"104.073225,30.710726"
135,"104.096109,30.62504"
136,"104.085582,30.651219"
137,"104.048191,30.526502"
138,"104.106853,30.71699"
139,"104.056045,30.604285"
140,"104.057467,30.584514"
141,"104.074022,30.665473"
142,"103.990469,30.673707"
143,"104.055026,30.654181"
144,"104.086589,30.652515"
145,"104.078517,30.546662"
146,"104.141625,30.62886"
147,"104.068134,30.673802"
148,"104.103625,30.644821"
149,"104.257868,30.881476"
150,"104.048806,30.682107"
151,"104.079936,30.618148"
152,"104.046503,30.651527"
153,"104.073881,30.65393"
154,"104.042952,30.654906"
155,"104.047631,30.543532"
156,"104.178677,30.816293"
157,"104.045238,30.545978"
158,"103.993341,30.649394"
159,"104.046359,30.527427"
160,"104.038908,30.68466"
161,"104.069651,30.627803"
162,"104.108368,30.601135"
163,"104.074994,30.642407"
164,"104.07948,30.652544"
165,"104.090117,30.652435"
166,"104.061561,30.578001"
167,"104.061561,30.578001"
168,"104.09029,30.68093"
169,"104.064388,30.64616"
170,"104.021906,30.66421"
171,"104.071362,30.556128"
172,"104.046359,30.527427"
173,"104.073978,30.541532"
174,"104.056109,30.65043"
175,"104.042722,30.686107"
176,"104.107123,30.667016"
177,"104.06613,30.54345"
178,"104.049297,30.636317"
179,"104.050054,30.592569"
180,"104.052363,30.58677"
181,"104.013692,30.705986"
182,"104.203068,30.736675"
183,"104.038171,30.635983"
184,"103.696142,30.63542"
185,"104.077251,30.668525"
186,"104.078304,30.657437"
187,"104.032356,30.675341"
188,"104.14357,30.597535"
189,"104.095189,30.67867"
190,"104.123289,30.648229"
191,"104.258872,30.889761"
192,"104.071501,30.503667"
193,"103.999708,30.570613"
194,"104.03873,30.676243"
195,"104.106301,30.609827"
196,"104.053617,30.663833"
197,"104.068297,30.552391"
198,"104.068297,30.552391"
199,"104.050372,30.615803"
200,"104.067451,30.654972"
201,"104.015872,30.637465"
202,"104.067521,30.667568"
203,"104.078171,30.654518"
204,"104.078304,30.657437"
